127.0.0.1 - - [25/Nov/2025:18:07:46 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /BBS/ HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /BBS/styles/reset.css HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /BBS/script/script.js HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:47 +0900] "GET /favicon.ico HTTP/1.1" 404 907
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:56 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:07:58 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:02 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:04 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:06 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:10 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:11 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:57 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:08:58 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:09:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:09:57 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:09:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:09:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:09 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:10 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:13 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:15 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:33 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [25/Nov/2025:18:10:33 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
